日付,時間 ,約定値,出来高
2025/12/05,15:30:00,283,"69,900"
2025/12/05,15:24:59,280,100
2025/12/05,15:24:58,280,700
2025/12/05,15:24:51,280,100
2025/12/05,15:24:50,280,"1,100"
2025/12/05,15:24:29,280,500
2025/12/05,15:24:27,280,100
2025/12/05,15:24:20,279,400
2025/12/05,15:24:02,279,500
2025/12/05,15:23:55,280,600
2025/12/05,15:23:54,280,100
2025/12/05,15:23:54,280,200
2025/12/05,15:23:53,280,800
2025/12/05,15:23:52,280,300
2025/12/05,15:23:52,280,"1,100"
2025/12/05,15:23:35,280,100
2025/12/05,15:23:35,280,200
2025/12/05,15:23:34,280,400
2025/12/05,15:23:28,280,"1,000"
2025/12/05,15:23:03,280,"1,400"
2025/12/05,15:22:44,280,"1,100"
2025/12/05,15:22:33,279,100
2025/12/05,15:22:33,279,100
2025/12/05,15:22:17,279,100
2025/12/05,15:22:17,279,"1,300"
2025/12/05,15:22:16,278,200
2025/12/05,15:22:15,279,500
2025/12/05,15:22:15,279,400
2025/12/05,15:22:06,279,200
2025/12/05,15:22:05,279,400
2025/12/05,15:22:00,279,300
2025/12/05,15:20:56,278,"3,300"
2025/12/05,15:20:56,279,"1,700"
2025/12/05,15:20:54,280,200
2025/12/05,15:20:54,280,800
2025/12/05,15:20:46,280,400
2025/12/05,15:20:46,280,"10,000"
2025/12/05,15:20:18,279,200
2025/12/05,15:20:18,279,800
2025/12/05,15:20:13,279,300
2025/12/05,15:20:08,279,300
2025/12/05,15:20:05,278,100
2025/12/05,15:19:59,279,"2,200"
2025/12/05,15:19:18,278,100
2025/12/05,15:19:13,278,100
2025/12/05,15:19:04,279,300
2025/12/05,15:18:58,279,"1,900"
2025/12/05,15:18:41,278,"1,000"
2025/12/05,15:18:41,278,300
2025/12/05,15:18:41,278,100
2025/12/05,15:18:41,278,300
2025/12/05,15:18:41,277,"5,000"
2025/12/05,15:18:41,278,"2,700"
2025/12/05,15:18:26,278,800
2025/12/05,15:18:03,279,"1,000"
2025/12/05,15:17:58,278,"1,100"
2025/12/05,15:17:58,280,"2,800"
2025/12/05,15:17:57,279,200
2025/12/05,15:17:57,279,900
2025/12/05,15:17:57,279,"7,900"
2025/12/05,15:17:57,278,"1,000"
2025/12/05,15:17:55,276,200
2025/12/05,15:17:49,277,300
2025/12/05,15:17:49,277,400
2025/12/05,15:17:49,277,300
2025/12/05,15:17:48,277,200
2025/12/05,15:17:48,276,"1,600"
2025/12/05,15:17:48,277,"1,400"
